n_samples,rate,RMSVel,PeakAccel,Motor1x,Motor2x,Motor3x,Motor4x,Motor5x,PCH1x,...,location_PIB,location_POB,orientation_Axial,orientation_Horizontal,orientation_Radial,orientation_Vertical,Clusters#_x_Cluster_1,Clusters#_x_Cluster_2,Clusters#_x_Cluster_3,Clusters#_x_Cluster_4
4096,4096,0.041884,0.425969,0.034975,0.041832,0.003054,0.006606,0.008585,0.006606,...,1,0,1,0,0,0,0,1,0,0
4096,4096,0.072095,0.689404,0.050101,0.045315,0.012029,0.036358,0.071506,0.036358,...,1,0,0,1,0,0,0,1,0,0
4096,4096,0.018908,0.343406,0.013109,0.00458,0.002771,0.009218,0.001261,0.009218,...,0,0,1,0,0,0,0,1,0,0
4096,4096,0.028579,0.414661,0.019022,0.010788,0.007601,0.000706,0.003083,0.000706,...,0,0,0,1,0,0,0,1,0,0
4096,4096,0.040974,0.436784,0.033334,0.038903,0.005654,0.007413,0.005698,0.007413,...,1,0,1,0,0,0,0,1,0,0
4096,8192,0.017041,1.230831,0.003335,0.002245,0.003466,0.011533,0.001881,0.003466,...,0,0,0,1,0,0,1,0,0,0
4096,8192,0.055298,0.495294,0.008843,0.011132,0.002342,0.015801,0.005988,0.002342,...,0,0,1,0,0,0,1,0,0,0
4096,8192,0.020174,0.901371,0.000054,0.000043,0.000014,0.005128,0.003285,0.000014,...,0,0,0,0,0,1,1,0,0,0
4096,8192,0.057292,1.815858,0.011918,0.017581,0.014798,0.012178,0.004639,0.014798,...,0,1,1,0,0,0,1,0,0,0
4096,8192,0.052237,1.943685,0.011014,0.011103,0.012862,0.012733,0.008207,0.012862,...,0,1,0,1,0,0,1,0,0,0
